taxon1,taxon2,taxon3,taxon4,CF12.34,CF13.24,CF14.23
A_Lyr,Bsch_0,Dra_0,En_2,0.277,0.345,0.377
A_Lyr,Bsch_0,Da1_12,Wa_1,0.345,0.3,0.355
A_Lyr,Bsch_0,Dra_0,Hau_0,0.313,0.329,0.358
A_Lyr,Bsch_0,Dra_0,Kro_0,0.264,0.377,0.359
A_Lyr,Bsch_0,Dra_0,Uod_1,0.411,0.277,0.312
A_Lyr,Bsch_0,Da1_12,Van_0,0.275,0.37,0.355
A_Lyr,Bsch_0,Dra_0,Qar_8a,0.25,0.243,0.506
A_Lyr,Bsch_0,Dra_0,Wt_5,0.307,0.394,0.299
A_Lyr,Bsch_0,En_2,Hey_1,0.268,0.433,0.299
A_Lyr,Bsch_0,Dra_0,Ha_0,0.298,0.335,0.366
A_Lyr,Bsch_0,Dra_0,Mnz_0,0.272,0.351,0.378
A_Lyr,Bsch_0,Dra_0,Yo_0,0.252,0.346,0.402
A_Lyr,Bsch_0,Dra_0,Uk_1,0.311,0.354,0.335
A_Lyr,Bsch_0,Dra_0,Vind_1,0.269,0.349,0.382
A_Lyr,Bsch_0,Dra_0,Ragl_1,0.281,0.396,0.323
A_Lyr,Bsch_0,Dra_0,Rome_1,0.289,0.348,0.364
A_Lyr,Bsch_0,Dra_0,Pla_0,0.294,0.332,0.374
A_Lyr,Bsch_0,Dra_0,Wa_1,0.346,0.3,0.354
A_Lyr,Bsch_0,Da1_12,Yo_0,0.251,0.347,0.402
A_Lyr,Bsch_0,Dra_0,Pna_17,0.283,0.332,0.385
A_Lyr,Bsch_0,En_2,Et_0,0.316,0.355,0.329
A_Lyr,Bsch_0,Dra_0,Nw_0,0.286,0.365,0.35
A_Lyr,Bsch_0,En_2,Jm_0,0.315,0.364,0.321
A_Lyr,Bsch_0,Dra_0,Van_0,0.276,0.368,0.355
A_Lyr,Bsch_0,En_2,Hau_0,0.282,0.358,0.36
A_Lyr,Bsch_0,En_2,Kro_0,0.483,0.278,0.239
A_Lyr,Bsch_0,En_2,Nw_0,0.47,0.273,0.257
A_Lyr,Bsch_0,En_2,Pna_17,0.499,0.235,0.266
A_Lyr,Bsch_0,En_2,Vind_1,0.395,0.298,0.307
A_Lyr,Bsch_0,En_2,Tu_0,0.34,0.391,0.269
A_Lyr,Bsch_0,En_2,Rome_1,0.403,0.299,0.298
A_Lyr,Bsch_0,En_2,Mnz_0,0.271,0.36,0.369
A_Lyr,Bsch_0,En_2,Van_0,0.396,0.318,0.286
A_Lyr,Bsch_0,En_2,Tha_1,0.272,0.386,0.342
A_Lyr,Bsch_0,En_2,Ragl_1,0.338,0.386,0.277
A_Lyr,Bsch_0,En_2,Qar_8a,0.282,0.248,0.471
A_Lyr,Bsch_0,En_2,Uk_1,0.379,0.329,0.292
A_Lyr,Bsch_0,En_2,Pla_0,0.293,0.34,0.367
A_Lyr,Bsch_0,En_2,Uod_1,0.296,0.343,0.36
A_Lyr,Bsch_0,En_2,Wa_1,0.263,0.357,0.38
A_Lyr,Bsch_0,En_2,Yo_0,0.487,0.245,0.268
